Incident Date,Incident Time,Flight ID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State,datetime_utc,year,injury_clean,state_clean,colors_clean
2010-01-03,518.0,DAL1298,MD81,2000.0,PHL,green,NO,Philadelphia,PENNSYLVANIA,2010-01-03 05:18:00,2010,NO,PENNSYLVANIA,green
2010-01-14,30.0,AWE1240,B737,6000.0,PHL,green,NO,Philadelphia,PENNSYLVANIA,2010-01-14 00:30:00,2010,NO,PENNSYLVANIA,green
2010-01-16,2310.0,SWA9003,B737,17000.0,PTW,green,NO,Pottstown,PENNSYLVANIA,2010-01-16 23:10:00,2010,NO,PENNSYLVANIA,green
2010-01-21,26.0,STAT4,EC35,2200.0,PIT,green,NO,Pittsburgh,PENNSYLVANIA,2010-01-21 00:26:00,2010,NO,PENNSYLVANIA,green
2010-02-04,205.0,SWA1876,B733,4000.0,AGC,green,NO,Pittsburgh,PENNSYLVANIA,2010-02-04 02:05:00,2010,NO,PENNSYLVANIA,green
2010-02-14,250.0,RPA3126,E170,10000.0,PIT,green,NO,Pittsburgh,PENNSYLVANIA,2010-02-14 02:50:00,2010,NO,PENNSYLVANIA,green
2010-03-06,2342.0,DAL1018,MD90,,PHL,green,NO,Philadelphia,PENNSYLVANIA,2010-03-06 23:42:00,2010,NO,PENNSYLVANIA,green
2010-03-07,3.0,EJA984,C750,1000.0,PNE,green,NO,Philadelphia,PENNSYLVANIA,2010-03-07 00:03:00,2010,NO,PENNSYLVANIA,green
2010-03-19,127.0,AWE5,A320,6000.0,PHL,green,NO,Philadelphia,PENNSYLVANIA,2010-03-19 01:27:00,2010,NO,PENNSYLVANIA,green
2010-03-19,338.0,UAL640T,A320,5000.0,PHL,green,NO,Philadelphia,PENNSYLVANIA,2010-03-19 03:38:00,2010,NO,PENNSYLVANIA,green
2010-03-20,107.0,STAT2,BL17,2500.0,AGC,green,NO,Pittsburgh,PENNSYLVANIA,2010-03-20 01:07:00,2010,NO,PENNSYLVANIA,green
2010-04-02,27.0,N112MA,MU2,11000.0,N71,green,NO,Mount Joy/Marietta,PENNSYLVANIA,2010-04-02 00:27:00,2010,NO,PENNSYLVANIA,green
2010-04-02,128.0,STAT1,EC35,2500.0,AGC,green,NO,Pittsburgh,PENNSYLVANIA,2010-04-02 01:28:00,2010,NO,PENNSYLVANIA,green
2010-04-02,208.0,FDX1253,B722,2500.0,ABE,green,NO,Allentown,PENNSYLVANIA,2010-04-02 02:08:00,2010,NO,PENNSYLVANIA,green
2010-04-02,215.0,FDX3,MD10,14000.0,PIT,green,NO,Pittsburgh,PENNSYLVANIA,2010-04-02 02:15:00,2010,NO,PENNSYLVANIA,green
2010-04-02,320.0,NWA3809,CRJ2,2000.0,ERI,green,NO,Erie,PENNSYLVANIA,2010-04-02 03:20:00,2010,NO,PENNSYLVANIA,green
2010-04-06,245.0,BTA2691,E145,,MXE,green,NO,Modena,PENNSYLVANIA,2010-04-06 02:45:00,2010,NO,PENNSYLVANIA,green
2010-04-08,315.0,AWI3866,CRJ2,4000.0,PHL,green,NO,Philadelphia,PENNSYLVANIA,2010-04-08 03:15:00,2010,NO,PENNSYLVANIA,green
2010-04-16,145.0,RPA3340,UNKN,4000.0,PHL,green,NO,Philadelphia,PENNSYLVANIA,2010-04-16 01:45:00,2010,NO,PENNSYLVANIA,green
2010-04-23,147.0,AWI3554,CRJ7,15000.0,DPK,green,NO,Deer Park,PENNSYLVANIA,2010-04-23 01:47:00,2010,NO,PENNSYLVANIA,green
2010-04-29,320.0,UAL694,A320,13000.0,FJC,green,NO,Allentown,PENNSYLVANIA,2010-04-29 03:20:00,2010,NO,PENNSYLVANIA,green
2010-04-29,327.0,SWA690,B737,13000.0,FJC,green,NO,Allentown,PENNSYLVANIA,2010-04-29 03:27:00,2010,NO,PENNSYLVANIA,green
2010-05-01,101.0,N3016N,PA32,1500.0,ABE,green,NO,Allentown,PENNSYLVANIA,2010-05-01 01:01:00,2010,NO,PENNSYLVANIA,green
