Length (ft),Length (in),Total Length (ft),Gender,Receipt Amount,Date Caught,Time of Day,Location Caught,Weight (lbs),Species,SFWMDPyMo #
13,,13.00,Female,$275.00,3/27/2017,12:00,L-28T,64.00,Burmese,3
6,8,6.67,Male,$125.00,3/27/2017,12:00,L-28T,8.00,Burmese,4
8,2,8.17,Male,$150.00,3/28/2017,11:00,Rocky Glades,12.00,Burmese,5
15,2,15.17,Female,$325.00,4/1/2017,12:00,L-28T,144.00,Burmese,7
15,10,15.83,Female,$350.00,4/2/2017,0:00,L-30,136.00,Burmese,8
9,2,9.17,,$175.00,3/31/2017,0:00,L-28T,24.00,Burmese,6
7,4,7.33,,$125.00,4/2/2017,12:00,L-31N,10.00,Burmese,9
7,3,7.25,Male,$125.00,4/3/2017,11:00,L-28T,12.00,Burmese,11
7,7,7.58,,$150.00,4/2/2017,22:00,Rocky Glades,12.00,Burmese,10
6,3,6.25,,$100.00,4/3/2017,22:00,Rocky Glades,8.00,Burmese,12
7,6,7.50,,$150.00,4/3/2017,10:00,Rocky Glades,13.00,Burmese,13
7,10.5,7.88,Male,$150.00,4/4/2017,21:00,Rocky Glades,12.00,Burmese,16
10,8,10.67,,$225.00,4/4/2017,21:30,L-28T,28.00,Burmese,17
9,7,9.58,,$200.00,4/4/2017,21:30,L-28T,24.00,Burmese,18
10,,10.00,,$200.00,3/25/2017,NA,Loop Road,22.00,Burmese,1
8,,8.00,,$150.00,3/26/2017,NA,Loop Road,12.00,Burmese,2
14,,14.00,Female,$300.00,4/5/2017,22:00,L-67A,82.00,Burmese,20
12,,12.00,Female,$250.00,4/5/2017,22:00,L-67A,50.00,Burmese,21
10,8,10.67,Female,$225.00,4/3/2017,22:00,L-28T,28.00,Burmese,14
9,6,9.50,Female,$200.00,4/3/2017,22:00,L-31N,23.00,Burmese,15
7,7,7.58,Male,$150.00,4/4/2017,8:00,L-31N,10.00,Burmese,19
13,1.75,13.15,Female,$275.00,4/7/2017,11:00,L-67A,84.00,Burmese,23
9,7,9.58,,$200.00,4/5/2017,19:30,L-28T,22.00,Burmese,22
15,,15.00,Female,$325.00,4/10/2017,12:00,L-28T,90.00,Burmese,24
5,,5.00,Male,$0.00,4/12/2017,14:15,Bird Drive Basin,4.00,Northern African,27
4,,4.00,Unable to tell,$50.00,4/12/2017,22:20,C-113,2.00,Burmese,25
7,7,7.58,Male,$150.00,4/12/2017,20:30,L-29,12.29,Burmese,26
10,2,10.17,Male,$200.00,4/14/2017,15:08,L-30,28.00,Burmese,30
7,2,7.17,Female,$125.00,4/14/2017,20:30,Rocky Glades,12.00,Burmese,31
9,,9.00,Female,$175.00,4/13/2017,23:30,L-67C,17.00,Burmese,28
5,,5.00,Female,$75.00,4/13/2017,23:30,L-67C,4.00,Burmese,29
9,4.5,9.38,Male,$175.00,4/15/2017,22:40,L-28T,17.00,Burmese,32
12,8,12.67,Female,$275.00,4/15/2017,23:00,L-28T,45.00,Burmese,33
8,9,8.75,Female,$175.00,4/15/2017,23:26,L-28T,20.00,Burmese,34
14,4,14.33,Female,$300.00,4/16/2017,21:30,L-28T,88.00,Burmese,35
10,,10.00,Male,$200.00,4/17/2017,16:30,L-28T,20.00,Burmese,36
8,8,8.67,Male,$175.00,4/17/2017,16:00,L-28T,16.00,Burmese,37
13,,13.00,Female,$275.00,4/20/2017,18:37,L-30,74.00,Burmese,39
8,,8.00,Male,$0.00,4/20/2017,22:00,L-28T,12.00,Burmese,40
8,11,8.92,Male,$175.00,4/20/2017,20:50,L-28T,16.00,Burmese,41
15,2,15.17,Female,$325.00,4/19/2017,22:30,L-28T,90.00,Burmese,38
7,2.5,7.21,Male,$125.00,4/21/2017,21:24,L-28T,8.00,Burmese,42
8,1,8.08,Male,$150.00,4/21/2017,23:58,L-28T,12.00,Burmese,43
7,10,7.83,Male,$150.00,4/21/2017,23:16,L-28T,14.00,Burmese,44
10,9,10.75,Female,$225.00,4/21/2017,0:58,L-28T,38.00,Burmese,45
8,2,8.17,Male,$150.00,4/22/2017,0:05,L-28T,14.00,Burmese,46
8,6,8.50,Female,$175.00,4/22/2017,15:35,L-30,19.00,Burmese,47
9,6,9.50,Male,$200.00,4/24/2017,10:08,L-28T,17.00,Burmese,49
10,4,10.33,Male,$200.00,4/24/2017,10:30,L-67A,25.00,Burmese,50
14,6,14.50,Female,$325.00,4/24/2017,11:15,L-67A,70.00,Burmese,51
8,9,8.75,Male,$175.00,4/23/2017,22:00,L-28T,18.08,Burmese,48
10,4,10.33,Female,$200.00,4/26/2017,21:20,L-67A,36.00,Burmese,54
12,1.5,12.13,Female,$250.00,4/26/2017,1:30,L-28T,40.00,Burmese,55
7,8,7.67,Male,$150.00,4/24/2017,11:38,L-28T,14.00,Burmese,52
8,,8.00,Male,$150.00,4/27/2017,20:10,Aerojet,14.20,Burmese,57
13,8,13.67,Female,$300.00,4/25/2017,20:15,L-28T,85.00,Burmese,53
13,,13.00,Female,$275.00,4/28/2017,2:30,L-28T,50.00,Burmese,62
15,,15.00,Female,$325.00,4/28/2017,19:05,L-67A,112.00,Burmese,63
11,,11.00,Female,$225.00,4/28/2017,0:22,L-28T,32.00,Burmese,64
7,4,7.33,Male,$125.00,4/26/2017,21:52,L-28T,8.00,Burmese,56
6,2,6.17,Female,$100.00,4/27/2017,22:30,L-28T,7.00,Burmese,58
6,3,6.25,Male,$100.00,4/27/2017,22:47,L-28T,8.00,Burmese,59
13,6,13.50,Female,$300.00,4/27/2017,23:08,L-28T,55.00,Burmese,60
8,0,8.00,Male,$150.00,4/29/2017,0:11,L-28T,11.00,Burmese,65
9,2,9.17,Male,$175.00,5/2/2017,7:30,NW Frog Pond,22.00,Burmese,68
9,6,9.50,Male,$200.00,4/27/2017,19:15,Hwy 27 / North Krome,16.00,Burmese,61
8,6,8.50,Female,$175.00,4/30/2017,22:30,L-28T,19.00,Burmese,66
7,9,7.75,Male,$150.00,4/30/2017,22:40,L-28T,12.00,Burmese,67
7,0,7.00,Male,$125.00,5/3/2017,22:05,L-28T,9.91,Burmese,69
9,8,9.67,Male,$0.00,5/3/2017,20:00,Rocky Glades,22.00,Burmese,70
9,6,9.50,Male,$0.00,5/5/2017,1:30,L-28T,19.00,Burmese,74
8,2,8.17,Male,$150.00,5/5/2017,21:10,L-31N,12.00,Burmese,75
8,9,8.75,Female,$175.00,5/3/2017,20:30,L-28T,19.00,Burmese,71
14,,14.00,Female,$300.00,5/6/2017,9:30,L-67A,94.00,Burmese,76
12,,12.00,Female,$250.00,5/6/2017,10:30,L-67A,48.00,Burmese,77
7,1,7.08,Female,$125.00,5/7/2017,9:30,C-110,10.00,Burmese,78
7,6,7.50,Male,$150.00,5/4/2017,22:28,L-67A,11.00,Burmese,72
10,3,10.25,Female,$200.00,5/4/2017,20:28,L-28T,24.00,Burmese,73
16,10,16.83,Female,$375.00,5/7/2017,10:00,L-28T,130.00,Burmese,79
8,1,8.08,Male,$150.00,5/10/2017,8:30,L-31E,12.00,Burmese,80
6,2,6.17,Female,$100.00,5/10/2017,20:50,L-28T,10.00,Burmese,81
4,9,4.75,Female,$75.00,5/11/2017,20:00,Rocky Glades,6.00,Burmese,82
7,7,7.58,Male,$150.00,5/11/2017,22:00,Rocky Glades,14.00,Burmese,83
7,6.5,7.54,Male,$150.00,5/12/2017,23:00,L-31N,11.00,Burmese,84
9,6,9.50,Female,$0.00,5/12/2017,21:40,L-28T,21.00,Burmese,85
4,1,4.08,Female,$50.00,5/12/2017,21:00,C-111,6.00,Burmese,86
4,1,4.08,Not labeled,$50.00,5/12/2017,9:30,C-111,4.00,Burmese,87
6,7,6.58,Female,$125.00,5/12/2017,21:40,L-28T,9.00,Burmese,88
6,2,6.17,Male,$100.00,5/12/2017,23:55,L-28T,8.00,Burmese,89
7,10,7.83,Male,$150.00,5/13/2017,1:23,L-28T,14.00,Burmese,90
8,10,8.83,Male,$175.00,5/13/2017,11:25,L-28T,20.00,Burmese,91
5,4,5.33,Male,$75.00,5/14/2017,22:30,Rocky Glades / C-111,6.00,Burmese,92
7,1,7.08,Male,$125.00,5/15/2017,22:00,Rocky Glades,12.00,Burmese,94
5,7,5.58,Male,$100.00,5/15/2017,21:10,L-28T,6.00,Burmese,95
4,0,4.00,Male,$50.00,5/14/2017,21:17,Rocky Glades,2.00,Burmese,93
15,10,15.83,Female,$350.00,5/15/2017,19:00,L-30,104.00,Burmese,96
7,6,7.50,Male,$150.00,5/16/2017,21:15,L-28T,13.00,Burmese,100
3,6,3.50,Male,$50.00,5/16/2017,21:10,C-111,2.00,Burmese,101
7,8,7.67,Male,$150.00,5/16/2017,22:00,L-67,12.00,Burmese,102
8,10,8.83,Male,$175.00,5/16/2017,22:05,L-28T,16.00,Burmese,103
8,,8.00,Male,$150.00,5/17/2017,20:40,C-111,14.20,Burmese,104
4,6,4.50,Male,$75.00,5/17/2017,22:00,C-111,3.01,Burmese,105
5,7,5.58,Female,$100.00,5/15/2017,14:30,Rocky Glades,7.00,Burmese,97
7,9,7.75,Female,$150.00,5/17/2017,11:00,L-31N,11.00,Burmese,106
9,6,9.50,Female,$200.00,5/17/2017,11:30,L-31N,24.00,Burmese,107
13,8,13.67,Female,$300.00,5/17/2017,22:10,L-67,58.00,Burmese,108
10,6,10.50,Female,$225.00,5/17/2017,22:45,L-67,27.00,Burmese,109
9,2,9.17,Female,$175.00,5/19/2017,9:32,L-67,28.00,Burmese,110
9,11,9.92,Male,$200.00,5/19/2017,8:43,L-67,22.00,Burmese,111
6,2,6.17,Male,$100.00,5/15/2017,21:48,L-28T,7.00,Burmese,98
5,7,5.58,Male,$100.00,5/15/2017,22:07,L-28T,4.00,Burmese,99
7,,7.00,Female,$125.00,5/20/2017,0:44,L-28T,8.00,Burmese,112
6,,6.00,Male,$100.00,5/20/2017,1:12,L-28T,4.00,Burmese,113
9,1,9.08,Female,$175.00,5/20/2017,22:16,L-30,16.00,Burmese,114
8,7,8.58,Male,$175.00,5/21/2017,14:30,L-31N,13.00,Burmese,116
8,1,8.08,Male,$150.00,5/20/2017,14:40,C-110,12.00,Burmese,115
4,7,4.58,Female,$75.00,5/21/2017,8:30,L-30,4.00,Burmese,117
12,6,12.50,Female,$275.00,5/22/2017,12:00,L28T,44.00,Burmese,119
7,7,7.58,Female,$150.00,5/23/2017,22:10,Rocky Glades,12.00,Burmese,122
8,6,8.50,Male,$175.00,5/23/2017,23:20,L-67,12.00,Burmese,123
6,3,6.25,Female,$100.00,5/22/2017,21:00,Rocky Glades,8.00,Burmese,120
